event_id,loan_id,event_sequence,status,event_datetime,refusal_reason,document_issue_flag,fraud_flag
56,28586,1,Submitted,2025-10-29 16:46:00.000000,,0.0,0
57,43564,1,Submitted,2025-10-17 16:59:00.000000,,0.0,0
58,43564,2,Docs Received,2025-10-20 07:43:21.950702,,0.0,0
59,43564,3,Credit Check,2025-10-21 21:15:00.594179,,0.0,0
60,43564,4,Rejected,2025-10-23 00:08:27.054509,High debt-to-income ratio,0.0,0
61,74357,1,Submitted,2025-11-07 12:28:00.000000,,0.0,0
62,74357,2,Docs Received,2025-11-09 07:12:14.268256,,0.0,0
63,74357,3,Credit Check,2025-11-13 05:13:37.549123,,0.0,0
64,74357,4,Rejected,2025-11-13 21:12:40.617942,High debt-to-income ratio,0.0,0
65,14666,1,Submitted,2025-10-17 16:06:00.000000,,0.0,0
66,14666,2,Docs Received,2025-10-19 04:55:02.127511,,,0
67,14666,3,Credit Check,2025-10-21 06:09:00.001584,,0.0,0
68,14666,4,Approved,2025-10-21 10:26:48.867077,,,0
69,14666,5,Signed,2025-10-23 14:14:10.765658,,0.0,0
70,14666,6,Granted,2025-10-24 03:28:04.795959,,0.0,0
71,71436,1,Submitted,2025-12-25 19:53:00.000000,,0.0,0
72,71436,2,Docs Received,2025-12-28 18:20:01.686900,,0.0,0
73,71436,3,Credit Check,2026-01-02 06:32:15.787741,,0.0,0
74,71436,4,Rejected,2026-01-02 23:42:58.671654,High debt-to-income ratio,0.0,0
75,72822,1,Submitted,2025-10-04 19:15:00.000000,,0.0,0
76,72822,2,Docs Received,2025-10-05 07:43:18.538484,,0.0,0
77,72822,3,Credit Check,2025-10-07 05:35:01.515562,,0.0,0
78,72822,4,Approved,2025-10-07 10:57:28.797924,,0.0,0
79,72822,5,Signed,2025-10-08 01:10:28.249546,,0.0,0
80,72822,6,Granted,2025-10-08 13:37:14.694204,,0.0,0
81,30635,1,Submitted,2025-11-17 15:46:00.000000,,0.0,0
82,56217,1,Submitted,2025-10-30 20:57:00.000000,,0.0,0
83,56217,2,Docs Received,2025-10-31 15:25:00.247250,,0.0,0
84,56217,3,Credit Check,2025-11-03 11:27:45.116535,,0.0,0
85,56217,4,Approved,2025-11-03 15:41:48.028948,,0.0,0
86,56217,5,Signed,2025-11-03 18:23:21.291083,,0.0,0
87,56217,6,Granted,2025-11-04 15:42:46.809338,,0.0,0
88,43929,1,Submitted,2025-10-20 17:47:00.000000,,0.0,0
89,75036,1,Submitted,2025-11-27 20:06:00.000000,,0.0,0
90,75036,2,Docs Received,2025-11-30 09:37:42.120932,,,0
91,75036,3,Credit Check,2025-11-30 20:16:35.176568,,0.0,0
92,75036,4,Rejected,2025-11-30 22:10:57.459486,Low credit score,0.0,0
93,86391,1,Submitted,2025-12-18 11:45:00.000000,,0.0,0
94,86391,2,Docs Received,2025-12-19 00:59:30.395610,,1.0,0
95,78528,1,Submitted,2025-10-26 09:39:00.000000,,0.0,0
96,78528,2,Docs Received,2025-10-29 05:01:23.327783,,1.0,0
97,54705,1,Submitted,2025-10-27 13:43:00.000000,,0.0,0
98,54705,2,Docs Received,2025-10-27 19:23:25.200370,,0.0,0
99,54705,3,Credit Check,2025-10-29 11:19:37.165783,,0.0,0
100,54705,4,Approved,2025-10-29 19:43:07.766483,,0.0,0
101,54705,5,Signed,2025-10-30 03:41:03.906494,,0.0,0
102,54705,6,Granted,2025-10-30 21:49:04.521921,,0.0,0
103,93858,1,Submitted,2025-10-29 11:03:00.000000,,0.0,0
104,93858,2,Docs Received,2025-10-30 10:25:35.319024,,0.0,0
105,93858,3,Credit Check,2025-10-30 22:28:42.693226,,0.0,0
106,93858,4,Rejected,2025-10-31 19:45:35.582435,Low credit score,0.0,0
107,69434,1,Submitted,2025-11-06 10:18:00.000000,,0.0,0
108,21519,1,Submitted,2025-11-04 16:08:00.000000,,0.0,0
109,21519,2,Docs Received,2025-11-07 17:04:06.016270,,0.0,0
110,21519,3,Credit Check,2025-11-09 13:26:53.716529,,0.0,0
111,21519,4,Rejected,2025-11-09 16:40:26.061334,Low credit score,0.0,0
112,92097,1,Submitted,2025-11-25 10:57:00.000000,,0.0,0
113,76922,1,Submitted,2025-10-12 10:10:00.000000,,0.0,0
114,76922,2,Docs Received,2025-10-15 02:04:35.522272,,0.0,0
115,76922,3,Credit Check,2025-10-17 09:55:21.322067,,0.0,0
116,76922,4,Approved,2025-10-18 05:13:36.171488,,0.0,0
117,76922,5,Signed,2025-10-18 15:14:42.847366,,0.0,0
118,76922,6,Granted,2025-10-20 12:19:34.355823,,0.0,0
119,23197,1,Submitted,2025-11-01 09:07:00.000000,,0.0,0
120,27353,1,Submitted,2025-12-30 18:47:00.000000,,0.0,0
121,27353,2,Docs Received,2025-12-31 14:49:09.488929,,0.0,0
122,27353,3,Credit Check,2026-01-02 00:16:24.467449,,0.0,0
123,27353,4,Approved,2026-01-02 13:06:10.039230,,0.0,0
124,27353,5,Signed,2026-01-02 19:11:18.134193,,0.0,0
125,27353,6,Granted,2026-01-03 07:12:27.426360,,0.0,0
126,90438,1,Submitted,2025-11-25 19:33:00.000000,,0.0,0
127,90438,2,Docs Received,2025-11-28 23:40:11.898577,,0.0,0
128,90438,3,Credit Check,2025-11-30 10:56:09.223382,,0.0,0
129,90438,4,Rejected,2025-12-01 13:27:34.465394,Other,0.0,0
130,83428,1,Submitted,2025-12-11 17:58:00.000000,,,0
131,83428,2,Docs Received,2025-12-13 18:47:08.748020,,1.0,0
132,68765,1,Submitted,2025-10-12 08:28:00.000000,,0.0,0
133,68765,2,Docs Received,2025-10-16 05:26:06.726327,,0.0,0
134,68765,3,Credit Check,2025-10-17 01:50:04.586898,,0.0,0
135,68765,4,Rejected,2025-10-17 10:15:03.315615,Other,0.0,0
136,40972,1,Submitted,2025-10-21 11:48:00.000000,,0.0,0
137,40972,2,Docs Received,2025-10-24 01:27:39.990187,,0.0,0
138,40972,3,Credit Check,2025-10-25 09:40:27.243760,,,0
139,40972,4,Approved,2025-10-25 17:37:06.418688,,0.0,0
140,40972,5,Signed,2025-10-25 20:02:58.356351,,0.0,0
141,40972,6,Granted,2025-10-25 21:14:58.356351,,0.0,0
142,45293,1,Submitted,2025-12-08 17:51:00.000000,,0.0,0
143,45293,2,Docs Received,2025-12-10 22:14:36.601385,,1.0,0
144,45293,3,Credit Check,2025-12-12 02:03:51.141528,,0.0,0
145,45293,4,Approved,2025-12-12 14:02:39.176794,,0.0,0
146,45293,5,Signed,2025-12-13 05:17:29.196272,,0.0,0
147,45293,6,Granted,2025-12-13 06:51:04.268257,,0.0,0
148,89389,1,Submitted,2025-11-14 14:20:00.000000,,0.0,0
149,89389,2,Docs Received,2025-11-15 14:20:28.508721,,0.0,0
150,89389,3,Credit Check,2025-11-17 05:22:35.350476,,0.0,0
151,89389,4,Approved,2025-11-17 12:26:44.915813,,0.0,0
152,89389,5,Signed,2025-11-20 23:57:25.045260,,0.0,0
153,89389,6,Granted,2025-11-22 07:31:57.617230,,0.0,0
154,21502,1,Submitted,2025-10-17 12:04:00.000000,,0.0,0
155,21502,2,Docs Received,2025-10-20 18:11:04.869929,,0.0,0
156,21502,3,Credit Check,2025-10-26 13:40:31.456789,,0.0,0
157,21502,4,Rejected,2025-10-27 14:54:45.714855,Low credit score,0.0,0
158,59685,1,Submitted,2025-11-28 15:23:00.000000,,0.0,0
159,84317,1,Submitted,2025-10-06 13:11:00.000000,,0.0,0
160,50648,1,Submitted,2025-10-26 17:25:00.000000,,,0
161,50648,2,Docs Received,2025-10-30 05:43:56.127399,,0.0,0
162,50648,3,Credit Check,2025-10-31 06:36:56.077929,,0.0,0
163,50648,4,Approved,2025-10-31 14:27:47.084513,,0.0,0
164,50648,5,Signed,2025-11-02 20:51:15.506648,,0.0,0
165,50648,6,Granted,2025-11-03 19:00:07.261384,,0.0,0
166,73584,1,Submitted,2025-11-22 17:59:00.000000,,0.0,0
167,80623,1,Submitted,2025-10-27 14:21:00.000000,,0.0,0
168,80623,2,Docs Received,2025-11-01 05:11:42.451888,,0.0,0
169,80623,3,Credit Check,2025-11-02 00:32:59.456221,,0.0,0
170,80623,4,Approved,2025-11-02 05:12:53.707671,,0.0,0
171,80623,5,Signed,2025-11-03 01:16:09.924891,,0.0,0
172,80623,6,Granted,2025-11-03 07:31:59.544756,,0.0,0
173,76187,1,Submitted,2025-11-02 17:40:00.000000,,0.0,0
174,76187,2,Docs Received,2025-11-04 04:33:21.621128,,1.0,0
175,76187,3,Credit Check,2025-11-05 00:12:25.787163,,0.0,0
176,76187,4,Approved,2025-11-05 03:03:59.455557,,0.0,0
177,76187,5,Signed,2025-11-05 05:35:17.942726,,0.0,0
178,76187,6,Granted,2025-11-05 09:34:13.390097,,0.0,0
179,63555,1,Submitted,2025-11-29 09:22:00.000000,,0.0,0
180,63555,2,Docs Received,2025-11-29 14:30:19.876881,,0.0,0
181,63555,3,Credit Check,2025-11-30 21:08:43.261004,,0.0,0
182,63555,4,Rejected,2025-12-01 10:47:50.599722,High debt-to-income ratio,,0
183,36770,1,Submitted,2025-12-17 17:10:00.000000,,0.0,0
184,36770,2,Docs Received,2025-12-20 22:33:40.035310,,0.0,0
185,36770,3,Credit Check,2025-12-23 07:43:35.693714,,0.0,0
186,36770,4,Rejected,2025-12-24 05:17:32.191172,Low credit score,0.0,0
187,72887,1,Submitted,2025-12-02 14:12:00.000000,,,0
188,72887,2,Docs Received,2025-12-02 19:55:10.030936,,0.0,0
189,72887,3,Credit Check,2025-12-06 02:49:00.765175,,0.0,0
190,72887,4,Rejected,2025-12-07 07:00:11.898814,Other,0.0,0
191,13376,1,Submitted,2025-11-29 15:45:00.000000,,0.0,0
192,41090,1,Submitted,2025-12-11 17:17:00.000000,,0.0,0
193,41090,2,Docs Received,2025-12-11 20:03:42.493182,,0.0,0
194,41090,3,Credit Check,2025-12-13 22:49:41.292475,,0.0,0
195,41090,4,Rejected,2025-12-14 03:32:31.413904,Low credit score,0.0,0
196,83499,1,Submitted,2025-11-06 17:48:00.000000,,0.0,0
197,83499,2,Docs Received,2025-11-08 14:44:15.440682,,0.0,0
198,83499,3,Credit Check,2025-11-10 20:27:25.010513,,0.0,0
199,83499,4,Approved,2025-11-11 15:28:01.024262,,0.0,0
200,83499,5,Signed,2025-11-11 18:06:53.717493,,0.0,0
201,83499,6,Granted,2025-11-11 19:36:14.368281,,,0
202,14063,1,Submitted,2025-12-27 19:21:00.000000,,0.0,0
203,14063,2,Docs Received,2025-12-29 03:50:13.328131,,0.0,0
204,14063,3,Credit Check,2026-01-01 01:01:25.651331,,0.0,0
205,14063,4,Approved,2026-01-01 19:32:36.508871,,0.0,0
206,14063,5,Signed,2026-01-02 13:57:44.358272,,0.0,0
207,14063,6,Granted,2026-01-02 17:53:59.859818,,0.0,0
208,72078,1,Submitted,2025-11-22 13:27:00.000000,,0.0,0
209,82088,1,Submitted,2025-12-29 13:29:00.000000,,0.0,0
210,13358,1,Submitted,2025-11-23 12:25:00.000000,,0.0,0
211,13358,2,Docs Received,2025-11-23 15:45:47.439135,,0.0,0
212,13358,3,Credit Check,2025-11-28 10:34:48.337100,,0.0,0
213,13358,4,Rejected,2025-11-29 09:36:10.447875,High debt-to-income ratio,0.0,0
214,94610,1,Submitted,2025-11-08 11:13:00.000000,,0.0,0
215,94610,2,Docs Received,2025-11-09 14:25:07.443803,,0.0,0
216,94610,3,Credit Check,2025-11-11 04:55:28.702046,,0.0,0
217,94610,4,Approved,2025-11-11 14:49:32.186186,,0.0,0
218,94610,5,Signed,2025-11-13 23:02:04.556770,,0.0,0
219,94610,6,Granted,2025-11-14 08:23:42.594258,,0.0,0
220,54770,1,Submitted,2025-11-21 20:27:00.000000,,0.0,0
221,52702,1,Submitted,2025-10-24 18:11:00.000000,,0.0,0
222,52702,2,Docs Received,2025-10-26 08:10:47.646348,,,0
223,33409,1,Submitted,2025-11-05 20:04:00.000000,,0.0,0
224,33409,2,Docs Received,2025-11-06 21:28:45.023130,,0.0,0
225,33409,3,Credit Check,2025-11-08 20:58:24.718915,,0.0,0
226,33409,4,Rejected,2025-11-09 22:56:03.119322,Low credit score,0.0,0
227,75506,1,Submitted,2025-10-20 16:08:00.000000,,0.0,0
228,75506,2,Docs Received,2025-10-20 23:12:00.821914,,0.0,0
229,75506,3,Credit Check,2025-10-22 05:08:05.400540,,0.0,0
230,75506,4,Rejected,2025-10-22 10:17:24.999817,High debt-to-income ratio,0.0,0
231,81957,1,Submitted,2025-11-03 14:10:00.000000,,0.0,0
232,10600,1,Submitted,2025-11-04 10:52:00.000000,,0.0,0
233,10600,2,Docs Received,2025-11-04 19:25:52.359698,,0.0,0
234,10600,3,Credit Check,2025-11-06 01:53:35.532687,,0.0,0
235,10600,4,Rejected,2025-11-06 12:22:48.693916,Low credit score,0.0,0
236,41814,1,Submitted,2025-11-15 14:37:00.000000,,0.0,0
237,21700,1,Submitted,2025-11-01 16:08:00.000000,,0.0,0
238,65817,1,Submitted,2025-12-29 15:28:00.000000,,0.0,0
239,14759,1,Submitted,2025-12-22 19:18:00.000000,,0.0,0
240,27520,1,Submitted,2025-12-31 10:59:00.000000,,0.0,0
241,27520,2,Docs Received,2026-01-01 21:31:37.565649,,0.0,0
242,27520,3,Credit Check,2026-01-03 17:59:55.440424,,0.0,0
243,27520,4,Rejected,2026-01-05 08:49:13.694662,Low credit score,0.0,0
244,69547,1,Submitted,2025-12-06 14:45:00.000000,,0.0,0
245,31862,1,Submitted,2025-11-01 13:35:00.000000,,0.0,0
246,22143,1,Submitted,2025-11-24 11:22:00.000000,,0.0,0
247,69550,1,Submitted,2025-12-03 09:44:00.000000,,0.0,0
248,69550,2,Docs Received,2025-12-06 09:37:50.791118,,0.0,0
249,69550,3,Credit Check,2025-12-10 13:28:12.682275,,0.0,0
250,69550,4,Approved,2025-12-11 19:32:45.097743,,0.0,0
251,69550,5,Signed,2025-12-12 04:30:27.613054,,0.0,0
252,69550,6,Granted,2025-12-12 09:01:17.140206,,0.0,0
253,17809,1,Submitted,2025-10-25 08:31:00.000000,,0.0,0
254,17809,2,Docs Received,2025-10-25 17:34:39.059830,,0.0,0
255,17809,3,Credit Check,2025-10-31 12:43:26.511630,,0.0,0
256,17809,4,Rejected,2025-10-31 18:38:48.041692,Low credit score,0.0,0
257,82053,1,Submitted,2025-12-21 10:13:00.000000,,0.0,0
258,82053,2,Docs Received,2025-12-21 18:29:17.158812,,,0
259,82053,3,Credit Check,2025-12-22 15:44:00.990337,,0.0,0
260,82053,4,Rejected,2025-12-24 14:08:59.585621,Low credit score,0.0,0
261,84152,1,Submitted,2025-12-31 11:26:00.000000,,0.0,0
262,84152,2,Docs Received,2026-01-01 13:02:02.512285,,0.0,0
263,84152,3,Credit Check,2026-01-04 15:05:34.500147,,0.0,0
264,84152,4,Approved,2026-01-04 19:25:00.820884,,0.0,0
265,84152,5,Signed,2026-01-05 02:09:29.696486,,0.0,0
266,84152,6,Granted,2026-01-05 19:15:26.659257,,0.0,0
267,28413,1,Submitted,2025-12-27 09:21:00.000000,,0.0,0
268,11394,1,Submitted,2025-10-07 17:18:00.000000,,0.0,0
269,11394,2,Docs Received,2025-10-08 03:52:38.266127,,1.0,0
270,54957,1,Submitted,2025-10-19 10:12:00.000000,,0.0,0
271,54957,2,Docs Received,2025-10-20 01:30:14.548692,,0.0,0
272,54957,3,Credit Check,2025-10-20 12:31:22.137829,,0.0,0
273,54957,4,Approved,2025-10-20 17:38:03.029542,,0.0,0
274,54957,5,Signed,2025-10-21 05:14:02.030628,,0.0,0
275,54957,6,Granted,2025-10-21 10:51:24.039527,,0.0,0
276,10399,1,Submitted,2025-11-23 10:36:00.000000,,0.0,0
277,63822,1,Submitted,2025-11-23 10:33:00.000000,,0.0,0
278,63822,2,Docs Received,2025-11-25 17:44:51.937271,,0.0,0
279,63822,3,Credit Check,2025-11-28 06:00:40.790270,,0.0,0
280,63822,4,Approved,2025-11-29 02:30:47.602502,,0.0,0
281,63822,5,Signed,2025-11-30 20:05:23.134545,,,0
282,63822,6,Granted,2025-12-01 04:10:03.204366,,0.0,0
283,85713,1,Submitted,2025-12-03 18:34:00.000000,,0.0,0
284,85713,2,Docs Received,2025-12-06 09:51:45.089416,,0.0,0
285,85713,3,Credit Check,2025-12-06 17:46:17.130227,,0.0,1
286,85713,4,Rejected,2025-12-07 01:31:03.814479,Suspected fraud,0.0,1
287,96127,1,Submitted,2025-11-03 15:21:00.000000,,0.0,0
288,92208,1,Submitted,2025-10-11 16:31:00.000000,,0.0,0
289,18211,1,Submitted,2025-11-22 20:50:00.000000,,0.0,0
290,65707,1,Submitted,2025-10-14 16:45:00.000000,,0.0,0
291,39028,1,Submitted,2025-10-29 11:32:00.000000,,0.0,0
292,48122,1,Submitted,2025-12-19 11:37:00.000000,,0.0,0
293,48122,2,Docs Received,2025-12-19 16:54:05.028745,,0.0,0
294,48122,3,Credit Check,2025-12-20 04:46:16.009512,,0.0,0
295,48122,4,Rejected,2025-12-20 19:41:19.774689,Low credit score,0.0,0
296,90164,1,Submitted,2025-12-03 16:31:00.000000,,0.0,0
297,90164,2,Docs Received,2025-12-06 20:42:45.112137,,0.0,0
298,90164,3,Credit Check,2025-12-07 10:37:05.966219,,0.0,0
299,90164,4,Approved,2025-12-08 00:37:29.319349,,0.0,0
300,90164,5,Signed,2025-12-08 12:21:38.156180,,0.0,0
301,90164,6,Granted,2025-12-09 05:56:48.855516,,0.0,0
302,62203,1,Submitted,2025-10-15 12:22:00.000000,,0.0,0
303,62203,2,Docs Received,2025-10-15 19:48:39.470970,,0.0,0
304,62203,3,Credit Check,2025-10-18 20:34:21.551610,,0.0,0
305,62203,4,Rejected,2025-10-19 00:38:15.922257,High debt-to-income ratio,0.0,0
306,48883,1,Submitted,2025-10-10 12:21:00.000000,,0.0,0
307,94018,1,Submitted,2025-10-21 15:55:00.000000,,0.0,0
308,56432,1,Submitted,2025-12-13 19:10:00.000000,,0.0,0
309,56177,1,Submitted,2025-12-06 12:13:00.000000,,0.0,0
310,56177,2,Docs Received,2025-12-08 19:07:22.948473,,0.0,0
311,56177,3,Credit Check,2025-12-10 23:00:59.165306,,0.0,0
312,56177,4,Approved,2025-12-11 02:26:58.542831,,0.0,0
313,56177,5,Signed,2025-12-11 18:10:22.481587,,0.0,0
314,56177,6,Granted,2025-12-12 15:18:43.711641,,0.0,0
315,67258,1,Submitted,2025-10-30 20:35:00.000000,,0.0,0
316,67258,2,Docs Received,2025-11-01 11:19:20.328574,,0.0,0
317,67258,3,Credit Check,2025-11-02 19:33:22.457298,,0.0,0
318,67258,4,Approved,2025-11-03 06:59:10.037063,,0.0,0
319,67258,5,Signed,2025-11-05 16:11:35.163849,,0.0,0
320,67258,6,Granted,2025-11-06 08:14:18.827155,,0.0,0
321,76193,1,Submitted,2025-11-09 11:49:00.000000,,0.0,0
322,76193,2,Docs Received,2025-11-10 12:38:54.284345,,0.0,0
323,76193,3,Credit Check,2025-11-12 19:33:33.625228,,0.0,0
324,76193,4,Approved,2025-11-12 23:46:08.490647,,0.0,0
325,76193,5,Signed,2025-11-13 22:48:49.893615,,0.0,0
326,76193,6,Granted,2025-11-14 23:51:27.709172,,0.0,0
327,60318,1,Submitted,2025-11-20 13:34:00.000000,,0.0,0
328,60318,2,Docs Received,2025-11-21 13:22:30.805727,,0.0,0
329,60318,3,Credit Check,2025-11-23 18:39:42.387085,,0.0,0
330,60318,4,Approved,2025-11-24 12:57:15.244987,,0.0,0
331,51477,1,Submitted,2025-10-16 08:23:00.000000,,0.0,0
332,51477,2,Docs Received,2025-10-17 23:01:19.811443,,0.0,0
333,51477,3,Credit Check,2025-10-18 23:41:22.690713,,0.0,0
334,51477,4,Rejected,2025-10-20 16:59:44.501366,Low credit score,0.0,0
335,23876,1,Submitted,2025-10-02 19:10:00.000000,,0.0,0
336,23876,2,Docs Received,2025-10-03 12:17:16.428902,,0.0,0
337,23876,3,Credit Check,2025-10-07 01:14:57.196733,,0.0,0
338,23876,4,Approved,2025-10-07 02:52:00.138026,,0.0,0
339,23876,5,Signed,2025-10-09 08:19:40.719688,,0.0,0
340,91223,1,Submitted,2025-12-14 17:32:00.000000,,0.0,0
341,91223,2,Docs Received,2025-12-15 21:05:57.943830,,0.0,0
342,91223,3,Credit Check,2025-12-16 15:16:43.243074,,0.0,0
343,91223,4,Rejected,2025-12-17 07:50:26.074593,Low credit score,0.0,0
344,11741,1,Submitted,2025-10-25 12:54:00.000000,,0.0,0
345,27706,1,Submitted,2025-11-05 08:43:00.000000,,0.0,0
346,40058,1,Submitted,2025-11-28 15:04:00.000000,,0.0,0
347,40058,2,Docs Received,2025-11-30 08:23:25.082307,,0.0,0
348,40058,3,Credit Check,2025-11-30 17:57:22.377300,,0.0,0
349,40058,4,Approved,2025-11-30 21:13:31.873641,,0.0,0
350,40058,5,Signed,2025-12-02 11:36:14.171889,,0.0,0
351,40058,6,Granted,2025-12-02 17:31:39.238774,,0.0,0
352,86695,1,Submitted,2025-11-26 17:23:00.000000,,0.0,0
353,31137,1,Submitted,2025-10-07 14:29:00.000000,,0.0,0
354,31137,2,Docs Received,2025-10-11 08:26:41.155292,,0.0,0
355,31137,3,Credit Check,2025-10-13 04:37:37.242288,,0.0,0
356,31137,4,Rejected,2025-10-14 00:15:43.822947,Low credit score,0.0,0
357,95564,1,Submitted,2025-10-19 15:12:00.000000,,0.0,0
358,95564,2,Docs Received,2025-10-20 17:29:35.075335,,1.0,0
359,34085,1,Submitted,2025-10-19 13:52:00.000000,,0.0,0
360,34085,2,Docs Received,2025-10-20 01:23:53.414414,,0.0,0
361,34085,3,Credit Check,2025-10-22 15:26:11.453347,,0.0,0
362,34085,4,Approved,2025-10-23 10:17:14.517286,,0.0,0
363,34085,5,Signed,2025-10-24 09:19:31.627318,,0.0,0
364,34085,6,Granted,2025-10-24 18:48:46.561847,,0.0,0
365,50332,1,Submitted,2025-12-20 11:00:00.000000,,0.0,0
366,50332,2,Docs Received,2025-12-22 20:55:54.244185,,0.0,0
367,50332,3,Credit Check,2025-12-25 16:44:22.316720,,0.0,0
368,50332,4,Rejected,2025-12-25 22:47:51.539295,Low credit score,0.0,0
369,86509,1,Submitted,2025-10-01 16:06:00.000000,,0.0,0
370,59198,1,Submitted,2025-12-01 17:49:00.000000,,0.0,0
371,59198,2,Docs Received,2025-12-02 00:21:54.643057,,0.0,0
372,59198,3,Credit Check,2025-12-03 16:58:23.277160,,0.0,0
373,59198,4,Rejected,2025-12-04 15:55:24.453758,High debt-to-income ratio,0.0,0
374,39631,1,Submitted,2025-11-02 19:46:00.000000,,0.0,0
375,39631,2,Docs Received,2025-11-05 17:50:56.086283,,0.0,0
376,39631,3,Credit Check,2025-11-07 10:31:28.197828,,0.0,0
377,39631,4,Rejected,2025-11-07 19:30:51.138738,High debt-to-income ratio,0.0,0
378,98979,1,Submitted,2025-10-25 20:11:00.000000,,0.0,0
379,98979,2,Docs Received,2025-10-28 01:08:39.903497,,0.0,0
380,98979,3,Credit Check,2025-10-30 04:22:04.878136,,0.0,0
381,98979,4,Rejected,2025-10-30 22:48:49.811451,Low credit score,0.0,0
382,85676,1,Submitted,2025-11-11 16:38:00.000000,,0.0,0
383,98220,1,Submitted,2025-12-03 11:33:00.000000,,0.0,0
384,81354,1,Submitted,2025-11-05 09:54:00.000000,,0.0,0
385,81354,2,Docs Received,2025-11-06 23:51:18.047179,,0.0,0
386,81354,3,Credit Check,2025-11-08 23:52:42.556345,,0.0,0
387,81354,4,Rejected,2025-11-10 00:53:34.297233,High debt-to-income ratio,,0
388,12470,1,Submitted,2025-12-10 08:47:00.000000,,0.0,0
389,12470,2,Docs Received,2025-12-11 17:54:34.855564,,0.0,0
390,12470,3,Credit Check,2025-12-12 13:50:17.125517,,0.0,0
