"loan_id","user_id","application_date","requested_amount","currency","est_credit_score","requested_term_months","loan_purpose","acquisition_channel","outcome"
10399,U10482,"2025-11-23",13050,GBP,697.0,12.0,Business investment,"",Abandoned - No Documents Uploaded
10403,U42053,"2025-10-29",500,GBP,560.0,60.0,"","",Abandoned - Document Issues
10407,U92123,"2025-12-05",4900,GBP,648.0,36.0,Wedding,Social Media Ads,Rejected
10415,U19761,"2025-11-18",5450,GBP,521.0,6.0,Education / tuition,Paid Search,Abandoned - No Documents Uploaded
10418,U94149,"2025-10-29",3900,GBP,696.0,6.0,"","",Rejected
10420,U89307,"2025-12-08",11050,GBP,639.0,12.0,Home improvement,Organic Search,Rejected
10421,U25864,"2025-11-07",4800,GBP,585.0,36.0,"",Affiliate / Comparison Site,Rejected
10426,U72170,"2025-12-20",9100,GBP,619.0,24.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10427,U35738,"2025-10-13",10250,GBP,608.0,36.0,Education / tuition,Affiliate / Comparison Site,Rejected
10432,U38550,"2025-10-16",15700,GBP,739.0,24.0,Holiday / travel,Paid Search,Abandoned - No Documents Uploaded
10436,U72266,"2025-10-31",4000,GBP,826.0,24.0,Holiday / travel,Organic Search,Granted
10437,U78565,"2025-11-11",10400,GBP,710.0,24.0,Debt consolidation,Organic Search,Pending Disbursement
10440,U14895,"2025-11-04",9450,GBP,663.0,36.0,Education / tuition,Direct / App Store,Granted
10443,U92260,"2025-12-27",11000,GBP,802.0,24.0,Medical expenses,Referral,Abandoned - No Documents Uploaded
10444,U82834,"2025-11-22",3300,GBP,850.0,6.0,Business investment,Paid Search,Granted
10446,U42240,"2025-11-02",8600,GBP,680.0,12.0,Holiday / travel,Affiliate / Comparison Site,Abandoned - Document Issues
10450,U94351,"2025-11-13",2350,GBP,616.0,60.0,Medical expenses,Affiliate / Comparison Site,Rejected
10454,U22411,"2025-11-06",12600,GBP,595.0,12.0,Wedding,"",Rejected
10456,U92801,"2025-10-25",1650,GBP,590.0,,Home improvement,Organic Search,Rejected
10465,U27131,"2025-11-20",1800,GBP,765.0,24.0,Other / unspecified,Paid Search,Granted
10471,U97198,"2025-11-19",4500,GBP,679.0,,Wedding,Organic Search,Granted
10473,U40109,"2025-12-09",11300,GBP,750.0,6.0,Debt consolidation,Affiliate / Comparison Site,Granted
10474,U45982,"2025-12-08",25000,GBP,504.0,36.0,Wedding,Referral,Rejected
10476,U70846,"2025-11-13",24000,GBP,692.0,24.0,Holiday / travel,Affiliate / Comparison Site,Granted
10490,U18047,"2025-11-02",650,GBP,596.0,36.0,Holiday / travel,Social Media Ads,Abandoned - No Documents Uploaded
10491,U18259,"2025-10-30",13700,GBP,546.0,24.0,Debt consolidation,Organic Search,Rejected
10504,U98022,"2025-11-19",9550,GBP,690.0,36.0,Home improvement,Paid Search,Abandoned - No Documents Uploaded
10509,U38309,"2025-11-25",18550,GBP,641.0,,Home improvement,Direct / App Store,Granted
10510,U22126,"2025-12-22",13000,GBP,764.0,36.0,Education / tuition,Social Media Ads,Abandoned - No Documents Uploaded
10513,U46123,"2025-10-23",7900,GBP,749.0,60.0,Wedding,Referral,Granted
10517,U85331,"2025-11-20",19900,GBP,681.0,12.0,Business investment,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10546,U48823,"2025-10-31",25000,GBP,605.0,6.0,Wedding,Direct / App Store,Rejected
10551,U16198,"2025-11-15",1100,GBP,582.0,60.0,Car purchase,Social Media Ads,Rejected
10558,U81779,"2025-11-21",7350,GBP,,24.0,Business investment,Organic Search,Abandoned - No Documents Uploaded
10562,U12866,"2025-10-04",9650,GBP,598.0,12.0,Debt consolidation,Referral,Abandoned - No Documents Uploaded
10570,U69293,"2025-11-20",6200,GBP,711.0,24.0,Wedding,Referral,Abandoned - Document Issues
10571,U37837,"2025-11-07",6350,GBP,563.0,6.0,Wedding,Organic Search,Rejected
10587,U85211,"2025-12-04",14250,GBP,564.0,48.0,Home improvement,Social Media Ads,Rejected
10600,U10419,"2025-11-04",17900,GBP,548.0,6.0,Wedding,Paid Search,Rejected
10601,U41544,"2025-10-09",3300,GBP,827.0,36.0,Home improvement,Organic Search,Granted
10604,U53688,"2025-10-28",20650,GBP,445.0,,Home improvement,Organic Search,Rejected
10617,U53696,"2025-11-18",3550,GBP,678.0,36.0,Holiday / travel,"",Abandoned - No Documents Uploaded
10624,U31713,"2025-10-20",2000,GBP,658.0,24.0,Other / unspecified,Direct / App Store,Granted
10626,U25839,"2025-10-03",3000,GBP,721.0,6.0,Wedding,Organic Search,Abandoned - No Documents Uploaded
10632,U79320,"2025-11-07",2850,GBP,,24.0,Wedding,Affiliate / Comparison Site,Granted
10635,U82661,"2025-10-13",17200,GBP,673.0,36.0,Wedding,Organic Search,Granted
10638,U14139,"2025-11-02",4300,GBP,620.0,36.0,Medical expenses,Paid Search,Abandoned - No Documents Uploaded
10642,U56904,"2025-11-01",2350,GBP,595.0,36.0,Wedding,"",Abandoned - Document Issues
10643,U20913,"2025-10-27",17150,GBP,676.0,,Medical expenses,Paid Search,Granted
10647,U26049,"2025-11-26",9450,GBP,708.0,6.0,"",Social Media Ads,Rejected
10650,U11017,"2025-10-13",500,GBP,693.0,36.0,Home improvement,Organic Search,Abandoned - No Documents Uploaded
10657,U85581,"2025-10-31",8200,GBP,492.0,24.0,Business investment,Social Media Ads,Rejected
10660,U38894,"2025-12-31",4750,GBP,677.0,12.0,Education / tuition,Organic Search,Abandoned - No Documents Uploaded
10667,U94637,"2025-10-15",8550,GBP,475.0,12.0,Home improvement,Paid Search,Rejected
10670,U95840,"2025-11-24",600,GBP,634.0,60.0,"",Social Media Ads,Abandoned - Document Issues
10672,U16317,"2025-10-10",14050,GBP,454.0,36.0,Home improvement,"",Abandoned - No Documents Uploaded
10681,U29987,"2025-10-03",9550,GBP,727.0,36.0,Debt consolidation,Direct / App Store,Abandoned - No Documents Uploaded
10687,U54345,"2025-11-05",21550,GBP,524.0,24.0,Other / unspecified,Affiliate / Comparison Site,Abandoned - Post Approval
10695,U37853,"2025-12-01",14850,GBP,461.0,48.0,Debt consolidation,Referral,Rejected
10704,U22146,"2025-12-31",2950,GBP,,12.0,Home improvement,Affiliate / Comparison Site,Rejected
13421,U63156,"2025-12-29",13450,GBP,584.0,48.0,"",Referral,Rejected
10709,U48682,"2025-12-07",1550,GBP,836.0,24.0,Other / unspecified,Organic Search,Granted
10710,U67136,"2025-10-19",13600,GBP,,,Education / tuition,Referral,Abandoned - No Documents Uploaded
10732,U67370,"2025-10-10",2650,GBP,548.0,36.0,Other / unspecified,"",Abandoned - Document Issues
10742,U24923,"2025-12-09",7350,GBP,648.0,,Debt consolidation,Social Media Ads,Granted
10746,U20373,"2025-10-31",11950,GBP,637.0,48.0,Other / unspecified,Organic Search,Abandoned - No Documents Uploaded
10753,U92236,"2025-12-23",10750,GBP,678.0,36.0,Debt consolidation,Social Media Ads,Abandoned - No Documents Uploaded
10754,U18823,"2025-10-08",13400,GBP,580.0,12.0,Business investment,Affiliate / Comparison Site,Rejected
10764,U78995,"2025-10-12",6200,GBP,533.0,,Home improvement,Referral,Abandoned - No Documents Uploaded
10776,U46929,"2025-12-14",2500,GBP,679.0,24.0,Education / tuition,Paid Search,Abandoned - Post Approval
10782,U81392,"2025-12-28",21150,GBP,558.0,36.0,Holiday / travel,Referral,Granted
10786,U48160,"2025-10-02",15850,GBP,711.0,12.0,Medical expenses,Affiliate / Comparison Site,Granted
10789,U93537,"2025-11-12",18900,GBP,793.0,48.0,Wedding,Affiliate / Comparison Site,Abandoned - Document Issues
10795,U75998,"2025-10-15",4550,GBP,640.0,12.0,Debt consolidation,Paid Search,Granted
10797,U92971,"2025-10-18",7800,GBP,615.0,12.0,Wedding,Paid Search,Abandoned - No Documents Uploaded
10799,U21286,"2025-10-30",6600,GBP,647.0,48.0,Car purchase,Organic Search,Abandoned - Document Issues
10804,U36190,"2025-10-24",3000,GBP,562.0,12.0,Wedding,Organic Search,Abandoned - No Documents Uploaded
10807,U25751,"2025-11-13",10100,GBP,634.0,12.0,"","",Granted
10808,U24375,"2025-11-19",500,GBP,621.0,36.0,"",Social Media Ads,Abandoned - Document Issues
10809,U19153,"2025-10-27",7400,GBP,596.0,12.0,Holiday / travel,Organic Search,Rejected
10815,U78308,"2025-10-13",650,GBP,596.0,6.0,Education / tuition,Paid Search,Rejected
10821,U52822,"2025-12-20",13600,GBP,624.0,12.0,Other / unspecified,Paid Search,Abandoned - Document Issues
10826,U68146,"2025-10-01",500,GBP,744.0,12.0,Other / unspecified,"",Abandoned - No Documents Uploaded
11182,U96957,"2025-10-04",4600,GBP,524.0,36.0,"",Direct / App Store,Rejected
10833,U89480,"2025-11-09",15950,GBP,670.0,12.0,Education / tuition,Paid Search,Rejected
10843,U17081,"2025-12-12",20350,GBP,695.0,36.0,Wedding,Organic Search,Abandoned - No Documents Uploaded
10855,U21875,"2025-11-17",8600,GBP,661.0,12.0,Medical expenses,"",Abandoned - No Documents Uploaded
10868,U12673,"2025-12-18",3000,GBP,664.0,,Medical expenses,Referral,Granted
10871,U15804,"2025-10-27",19150,GBP,652.0,24.0,Wedding,Referral,Abandoned - Document Issues
10872,U58124,"2025-10-25",3500,GBP,617.0,36.0,Other / unspecified,Organic Search,Rejected
10878,U42172,"2025-10-23",13300,GBP,562.0,36.0,Car purchase,Affiliate / Comparison Site,Granted
10882,U23229,"2025-11-02",17100,GBP,833.0,48.0,Debt consolidation,Referral,Abandoned - No Documents Uploaded
10886,U20164,"2025-10-03",3950,GBP,663.0,12.0,Medical expenses,Organic Search,Abandoned - No Documents Uploaded
10902,U73005,"2025-10-12",2150,GBP,533.0,12.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10904,U54429,"2025-11-24",5200,GBP,488.0,60.0,Medical expenses,Paid Search,Rejected
10905,U40349,"2025-10-31",8850,GBP,571.0,48.0,Medical expenses,Paid Search,Rejected
10911,U99710,"2025-11-17",7350,GBP,734.0,6.0,Debt consolidation,Affiliate / Comparison Site,Rejected
10912,U26221,"2025-10-31",4250,GBP,636.0,24.0,Debt consolidation,Affiliate / Comparison Site,Abandoned - Post Approval
10917,U32789,"2025-12-04",10150,GBP,,24.0,Car purchase,Paid Search,Abandoned - No Documents Uploaded
10921,U73030,"2025-10-14",2550,GBP,743.0,48.0,Business investment,Organic Search,Granted
10927,U94930,"2025-12-05",10000,GBP,711.0,48.0,Business investment,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10931,U91102,"2025-12-02",6100,GBP,546.0,6.0,Medical expenses,"",Abandoned - No Documents Uploaded
10932,U96832,"2025-10-05",10900,GBP,662.0,60.0,Wedding,Social Media Ads,Abandoned - No Documents Uploaded
10940,U73257,"2025-10-25",4000,GBP,707.0,24.0,Holiday / travel,Organic Search,Abandoned - No Documents Uploaded
10960,U78632,"2025-12-24",22200,GBP,763.0,36.0,Medical expenses,Paid Search,Granted
10961,U50183,"2025-10-09",8200,GBP,754.0,,"",Affiliate / Comparison Site,Abandoned - Document Issues
10972,U91978,"2025-10-21",13400,GBP,,,Holiday / travel,Paid Search,Abandoned - No Documents Uploaded
10981,U63904,"2025-12-17",3900,GBP,490.0,24.0,Holiday / travel,Affiliate / Comparison Site,Rejected
10982,U82535,"2025-10-13",17250,GBP,766.0,24.0,Other / unspecified,Organic Search,Abandoned - No Documents Uploaded
10986,U40110,"2025-10-21",2700,GBP,757.0,,Business investment,Paid Search,Rejected
10988,U49687,"2025-12-11",10700,GBP,653.0,60.0,Home improvement,Paid Search,Abandoned - No Documents Uploaded
10990,U28349,"2025-10-19",10700,GBP,628.0,36.0,Wedding,Referral,Abandoned - Post Approval
11012,U52476,"2025-10-06",8600,GBP,,60.0,Medical expenses,"",Abandoned - Document Issues
11022,U58749,"2025-10-31",4050,GBP,638.0,12.0,Holiday / travel,Organic Search,Abandoned - No Documents Uploaded
11023,U96102,"2025-10-21",10350,GBP,732.0,12.0,Home improvement,Affiliate / Comparison Site,Granted
11027,U26590,"2025-12-11",9050,GBP,660.0,36.0,Other / unspecified,Social Media Ads,Abandoned - No Documents Uploaded
11030,U79896,"2025-10-30",25000,GBP,586.0,6.0,Holiday / travel,Organic Search,Rejected
11031,U77959,"2025-10-05",19850,GBP,617.0,24.0,"",Social Media Ads,Granted
11033,U78249,"2025-11-17",6100,GBP,838.0,12.0,Holiday / travel,Paid Search,Granted
11045,U97881,"2025-10-19",550,GBP,636.0,12.0,"",Affiliate / Comparison Site,Abandoned - No Documents Uploaded
11046,U91302,"2025-10-21",15750,GBP,531.0,60.0,Other / unspecified,Paid Search,Rejected
11055,U88330,"2025-10-17",9700,GBP,601.0,6.0,Wedding,Social Media Ads,Rejected
11057,U42175,"2025-10-23",6650,GBP,545.0,36.0,"",Referral,Rejected
11063,U11158,"2025-12-07",4850,GBP,607.0,,Business investment,Referral,Abandoned - No Documents Uploaded
11066,U93151,"2025-12-10",10750,GBP,592.0,24.0,Other / unspecified,Social Media Ads,Rejected
11069,U73283,"2025-11-14",2200,GBP,850.0,24.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
11078,U63470,"2025-11-04",14200,GBP,621.0,24.0,Other / unspecified,Referral,Abandoned - No Documents Uploaded
11082,U50727,"2025-10-31",14700,GBP,702.0,36.0,Other / unspecified,"",Granted
11083,U18828,"2025-11-27",5400,GBP,782.0,36.0,Holiday / travel,Social Media Ads,Rejected
11088,U49968,"2025-11-09",22000,GBP,590.0,6.0,Debt consolidation,Organic Search,Abandoned - No Documents Uploaded
11091,U57077,"2025-12-03",18250,GBP,676.0,12.0,Home improvement,Social Media Ads,Abandoned - No Documents Uploaded
11092,U34727,"2025-11-10",12550,GBP,695.0,12.0,Home improvement,Referral,Granted
11093,U29207,"2025-11-12",19450,GBP,761.0,36.0,Home improvement,Social Media Ads,Abandoned - No Documents Uploaded
11098,U99874,"2025-10-24",3800,GBP,647.0,,Wedding,Social Media Ads,Abandoned - Document Issues
11101,U14793,"2025-10-29",25000,GBP,635.0,48.0,Home improvement,"",Abandoned - No Documents Uploaded
11102,U45102,"2025-10-27",15700,GBP,543.0,12.0,Business investment,Organic Search,Rejected
11104,U98249,"2025-11-07",25000,GBP,577.0,6.0,Home improvement,Referral,Granted
11119,U19861,"2025-11-10",7300,GBP,687.0,,Education / tuition,Affiliate / Comparison Site,Granted
11125,U67289,"2025-12-08",19000,GBP,608.0,24.0,Home improvement,"",Granted
11126,U26343,"2025-11-04",3050,GBP,675.0,6.0,Business investment,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
11139,U15055,"2025-10-23",12150,GBP,709.0,12.0,Debt consolidation,Referral,Abandoned - No Documents Uploaded
11144,U19028,"2025-10-31",4700,GBP,557.0,48.0,Home improvement,Paid Search,Rejected
11148,U89791,"2025-10-26",25000,GBP,593.0,,Holiday / travel,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
11150,U59862,"2025-10-31",9250,GBP,724.0,60.0,Other / unspecified,Social Media Ads,Abandoned - No Documents Uploaded
11160,U34696,"2025-11-02",9100,GBP,673.0,,Wedding,"",Granted
11169,U48884,"2025-11-14",7550,GBP,603.0,,Car purchase,Organic Search,Granted
11173,U54617,"2025-11-08",16000,GBP,,24.0,Business investment,Organic Search,Abandoned - No Documents Uploaded
11175,U65528,"2025-10-06",25000,GBP,644.0,48.0,Holiday / travel,Organic Search,Granted
11178,U29732,"2025-11-13",3150,GBP,699.0,6.0,Business investment,Paid Search,Granted
11192,U99060,"2025-12-03",1450,GBP,589.0,24.0,Holiday / travel,Referral,Abandoned - No Documents Uploaded
11203,U58034,"2025-10-04",25000,GBP,,6.0,Business investment,Direct / App Store,Abandoned - No Documents Uploaded
11215,U63910,"2025-11-20",8000,GBP,585.0,24.0,Holiday / travel,Social Media Ads,Rejected
11219,U83346,"2025-12-11",16000,GBP,632.0,24.0,Wedding,Referral,Granted
11220,U91899,"2025-10-20",16900,GBP,768.0,,Education / tuition,Social Media Ads,Granted
11224,U27600,"2025-12-14",17250,GBP,620.0,48.0,Home improvement,Affiliate / Comparison Site,Rejected
11229,U60321,"2025-12-01",14550,GBP,602.0,12.0,Medical expenses,Organic Search,Granted
11243,U71773,"2025-10-29",7200,GBP,639.0,12.0,Debt consolidation,Social Media Ads,Abandoned - Document Issues
11255,U45645,"2025-12-03",21600,GBP,670.0,48.0,Other / unspecified,Paid Search,Abandoned - No Documents Uploaded
11256,U27451,"2025-10-06",850,GBP,620.0,6.0,Wedding,Referral,Abandoned - No Documents Uploaded
11259,U21914,"2025-10-13",9050,GBP,,24.0,Car purchase,Referral,Rejected
11261,U73631,"2025-11-15",4950,GBP,,24.0,Wedding,Social Media Ads,Abandoned - Document Issues
11262,U14788,"2025-10-04",4150,GBP,677.0,24.0,Medical expenses,Direct / App Store,Granted
11263,U77725,"2025-10-23",750,GBP,698.0,36.0,Holiday / travel,Social Media Ads,Granted
11264,U24674,"2025-11-29",3200,GBP,484.0,6.0,"",Referral,Abandoned - No Documents Uploaded
11271,U70710,"2025-10-07",9750,GBP,693.0,60.0,Wedding,Paid Search,Abandoned - No Documents Uploaded
11273,U83199,"2025-12-03",22000,GBP,770.0,48.0,"",Affiliate / Comparison Site,Abandoned - Document Issues
11277,U15952,"2025-12-22",550,GBP,640.0,36.0,Business investment,"",Abandoned - Post Approval
11278,U35333,"2025-11-25",6250,GBP,535.0,12.0,Holiday / travel,Organic Search,Rejected
11297,U25733,"2025-10-25",19350,GBP,650.0,,Medical expenses,"",Abandoned - No Documents Uploaded
11305,U66570,"2025-11-27",7550,GBP,567.0,36.0,Home improvement,"",Granted
11310,U54836,"2025-12-01",9050,GBP,,12.0,Wedding,Social Media Ads,Rejected
11317,U24485,"2025-11-10",13550,GBP,804.0,,Medical expenses,Paid Search,Granted
11321,U69854,"2025-11-28",10700,GBP,492.0,48.0,"",Organic Search,Abandoned - No Documents Uploaded
11328,U80739,"2025-10-18",2750,GBP,613.0,36.0,Other / unspecified,"",Abandoned - Document Issues
11342,U10756,"2025-10-30",6600,GBP,822.0,60.0,Education / tuition,Social Media Ads,Rejected
