"loan_id","risk_decision","risk_segment","rejection_reason","approved_amount","granted_amount","estimated_interest","final_interest_rate","loan_status","charge_off_flag","charge_off_date"
10427,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10432,,,,,,,,Submitted,0,
10436,Approved,Low Risk,,4000.0,4000.0,,5.13,Granted,0,
10437,Approved,Standard Risk,,10400.0,,9.87,9.73,Signed,0,
10440,Approved,Standard Risk,,9450.0,9450.0,14.0,13.72,Granted,0,
10443,,Low Risk,,,,,,Submitted,0,
10444,Approved,Low Risk,,3300.0,3300.0,4.18,4.67,Granted,0,
10446,,Standard Risk,,,,,,Docs Received,0,
10450,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
10454,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10456,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10465,Approved,Low Risk,,1800.0,1800.0,4.87,5.46,Granted,0,
10471,Approved,Standard Risk,,4650.0,4650.0,9.38,10.3,Granted,0,
10473,Approved,Low Risk,,12990.0,12990.0,6.82,6.27,Granted,0,
10474,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10476,Approved,Standard Risk,,24830.0,24830.0,14.68,,Granted,0,
10490,,High Risk,,,,,,Submitted,0,
10491,Rejected,High Risk,Other,,,,,Rejected,0,
10504,,Standard Risk,,,,,,Submitted,0,
10509,Approved,Standard Risk,,18550.0,18550.0,10.62,10.16,Granted,0,
10510,,Low Risk,,,,,,Submitted,0,
10513,Approved,Low Risk,,7900.0,7900.0,7.9,9.01,Granted,0,
10517,,Standard Risk,,,,,,Submitted,0,
10546,Rejected,Standard Risk,Other,,,,,Rejected,0,
10551,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10558,,Standard Risk,,,,,,Submitted,0,
10562,,High Risk,,,,,,Submitted,0,
10570,,Standard Risk,,,,,,Docs Received,0,
10571,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10587,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10600,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10601,Approved,Low Risk,,3300.0,3300.0,6.87,6.75,Granted,0,
10604,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
10617,,Standard Risk,,,,,,Submitted,0,
10624,Approved,Standard Risk,,2130.0,2130.0,13.74,12.69,Granted,0,
10626,,Low Risk,,,,,,Submitted,0,
10632,Approved,Low Risk,,2850.0,2850.0,6.42,6.1,Granted,0,
10635,Approved,Standard Risk,,17200.0,17200.0,11.67,11.1,Granted,0,
10638,,Standard Risk,,,,,,Submitted,0,
10642,,High Risk,,,,,,Docs Received,0,
10643,Approved,Standard Risk,,17150.0,17150.0,12.32,13.24,Granted,0,
10647,Rejected,Standard Risk,Other,,,,,Rejected,0,
10650,,Standard Risk,,,,,,Submitted,0,
10657,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10660,,Standard Risk,,,,,,Submitted,0,
10667,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10670,,Standard Risk,,,,,,Docs Received,0,
10672,,High Risk,,,,,,Submitted,0,
10681,,Low Risk,,,,,,Submitted,0,
10687,Approved,High Risk,,21550.0,,25.91,,Approved,0,
10695,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10704,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10709,Approved,Low Risk,,1550.0,1550.0,7.77,7.28,Granted,0,
10710,,High Risk,,,,,,Submitted,0,
10732,,High Risk,,,,,,Docs Received,0,
10742,Approved,Standard Risk,,7350.0,7350.0,9.27,9.58,Granted,0,
10746,,Standard Risk,,,,,,Submitted,0,
10753,,,,,,,,Submitted,0,
10754,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10764,,High Risk,,,,,,Submitted,0,
10776,Approved,Standard Risk,,2500.0,,12.44,,Approved,0,
10782,Approved,High Risk,,21150.0,21150.0,25.38,25.73,Granted,0,
10786,Approved,Standard Risk,,15850.0,15850.0,10.23,10.01,Granted,0,
10789,,Low Risk,,,,,,Docs Received,0,
10795,Approved,Standard Risk,,4550.0,4550.0,,10.12,Granted,0,
10797,,Standard Risk,,,,,,Submitted,0,
10799,,Standard Risk,,,,,,Docs Received,0,
10804,,High Risk,,,,,,Submitted,0,
10807,Approved,Standard Risk,,10500.0,10500.0,10.18,9.53,Granted,0,
10808,,Standard Risk,,,,,,Docs Received,0,
10809,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10815,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
10821,,Standard Risk,,,,,,Docs Received,0,
10826,,Low Risk,,,,,,Submitted,0,
10833,Rejected,Standard Risk,Other,,,,,Rejected,0,
10843,,Standard Risk,,,,,,Submitted,0,
10855,,Standard Risk,,,,,,Submitted,0,
10868,Approved,Standard Risk,,3000.0,3000.0,9.84,,Granted,0,
10871,,Standard Risk,,,,,,Docs Received,0,
10872,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10878,Approved,High Risk,,13300.0,13300.0,23.28,23.13,Granted,0,
10882,,Low Risk,,,,,,Submitted,0,
10886,,Standard Risk,,,,,,Submitted,0,
10902,,High Risk,,,,,,Submitted,0,
10904,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10905,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
10911,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
10912,Approved,Standard Risk,,4250.0,,14.12,,Approved,0,
10917,,High Risk,,,,,,Submitted,0,
10921,Approved,,,2550.0,2550.0,6.3,5.7,Granted,0,
10927,,Standard Risk,,,,,,Submitted,0,
10931,,High Risk,,,,,,Submitted,0,
10932,,Standard Risk,,,,,,Submitted,0,
10940,,Standard Risk,,,,,,Submitted,0,
10960,Approved,Low Risk,,22200.0,22200.0,6.31,6.09,Granted,0,
10961,,Low Risk,,,,,,Docs Received,0,
10972,,Standard Risk,,,,,,Submitted,0,
10981,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10982,,Low Risk,,,,,,Submitted,0,
10986,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
10988,,,,,,,,Submitted,0,
10990,Approved,Standard Risk,,10700.0,,10.23,,Approved,0,
11012,,High Risk,,,,,,Docs Received,0,
11022,,Standard Risk,,,,,,Submitted,0,
11023,Approved,Low Risk,,10350.0,10350.0,6.81,6.81,Granted,0,
11027,,Standard Risk,,,,,,Submitted,0,
11030,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11031,Approved,Standard Risk,,21880.0,21880.0,9.18,8.73,Granted,0,
11033,Approved,Low Risk,,6100.0,6100.0,4.16,4.65,Granted,0,
11045,,Standard Risk,,,,,,Submitted,0,
11046,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11055,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11057,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11063,,Standard Risk,,,,,,Submitted,0,
11066,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11069,,Low Risk,,,,,,Submitted,0,
11078,,Standard Risk,,,,,,Submitted,0,
11082,Approved,Standard Risk,,14700.0,14700.0,12.27,12.25,Granted,0,
11083,Rejected,Low Risk,Low credit score,,,,,Rejected,0,
11088,,High Risk,,,,,,Submitted,0,
11091,,Standard Risk,,,,,,Submitted,0,
11092,Approved,Standard Risk,,12550.0,12550.0,9.67,9.36,Granted,0,
11093,,Low Risk,,,,,,Submitted,0,
11098,,,,,,,,Docs Received,0,
11101,,Standard Risk,,,,,,Submitted,0,
11102,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11104,Approved,High Risk,,27630.0,27630.0,19.42,19.69,Granted,0,
11119,Approved,Standard Risk,,7300.0,7300.0,14.8,14.99,Granted,0,
11125,Approved,Standard Risk,,19000.0,19000.0,13.67,13.45,Granted,0,
11126,,Standard Risk,,,,,,Submitted,0,
11139,,Standard Risk,,,,,,Submitted,0,
11144,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11148,,High Risk,,,,,,Submitted,0,
11150,,,,,,,,Submitted,0,
11160,Approved,Standard Risk,,9100.0,9100.0,14.09,14.87,Granted,0,
11169,Approved,Standard Risk,,7550.0,7550.0,9.93,8.98,Granted,0,
11173,,High Risk,,,,,,Submitted,0,
11175,Approved,Standard Risk,,25000.0,25000.0,12.62,13.1,Granted,1,"2026-04-15"
11178,Approved,Standard Risk,,3150.0,3150.0,11.36,11.99,Granted,0,
11182,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11192,,High Risk,,,,,,Submitted,0,
11203,,Standard Risk,,,,,,Submitted,0,
11215,Rejected,,Low credit score,,,,,Rejected,0,
11219,Approved,Standard Risk,,16810.0,16810.0,,13.68,Granted,0,
11220,Approved,Low Risk,,16900.0,16900.0,4.65,4.67,Granted,0,
11224,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11229,Approved,Standard Risk,,14550.0,14550.0,13.73,13.57,Granted,1,"2026-02-27"
11243,,Standard Risk,,,,,,Docs Received,0,
11255,,Standard Risk,,,,,,Submitted,0,
11256,,Standard Risk,,,,,,Submitted,0,
11259,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
11261,,Low Risk,,,,,,Docs Received,0,
11262,Approved,Standard Risk,,4540.0,4540.0,10.53,10.35,Granted,0,
11263,Approved,Standard Risk,,750.0,750.0,12.6,,Granted,0,
11264,,High Risk,,,,,,Submitted,0,
11271,,Standard Risk,,,,,,Submitted,0,
11273,,Low Risk,,,,,,Docs Received,0,
11277,Approved,Standard Risk,,550.0,,11.36,,Approved,0,
11278,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11297,,,,,,,,Submitted,0,
11305,Approved,High Risk,,7550.0,7550.0,23.38,23.94,Granted,0,
11310,Rejected,High Risk,Suspected fraud,,,,,Rejected,0,
11317,Approved,Low Risk,,14770.0,14770.0,4.62,4.52,Granted,0,
11321,,High Risk,,,,,,Submitted,0,
11328,,Standard Risk,,,,,,Docs Received,0,
11342,Rejected,Low Risk,Low credit score,,,,,Rejected,0,
11345,,High Risk,,,,,,Submitted,0,
11347,Approved,High Risk,,3650.0,3650.0,26.27,27.53,Granted,0,
11349,,High Risk,,,,,,Submitted,0,
11354,Approved,Low Risk,,14200.0,14200.0,,4.46,Granted,0,
11363,,High Risk,,,,,,Submitted,0,
11376,Approved,Low Risk,,15250.0,15250.0,6.49,6.53,Granted,0,
11383,,High Risk,,,,,,Submitted,0,
11387,Approved,Low Risk,,20200.0,20200.0,7.74,7.03,Granted,0,
11394,,,,,,,,Docs Received,0,
11398,Approved,Low Risk,,1450.0,1450.0,7.99,8.25,Granted,0,
11399,Approved,Low Risk,,25000.0,25000.0,7.56,8.59,Granted,0,
11402,Approved,Low Risk,,2250.0,2250.0,4.71,,Granted,0,
11412,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
11413,Rejected,Standard Risk,Suspected fraud,,,,,Rejected,0,
11417,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11426,,Standard Risk,,,,,,Submitted,0,
11427,,Standard Risk,,,,,,Submitted,0,
11435,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
11436,Rejected,Low Risk,Suspected fraud,,,,,Rejected,0,
11441,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
11457,Rejected,High Risk,Other,,,,,Rejected,0,
11459,,High Risk,,,,,,Submitted,0,
11470,Approved,Standard Risk,,22700.0,22700.0,9.66,9.63,Granted,0,
11472,,Standard Risk,,,,,,Submitted,0,
11483,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11486,,Low Risk,,,,,,Submitted,0,
11493,Approved,Standard Risk,,23650.0,23650.0,12.45,11.54,Granted,0,
11496,,Standard Risk,,,,,,Submitted,0,
11498,Approved,Standard Risk,,10500.0,10500.0,9.7,9.62,Granted,1,"2025-12-19"
11500,,High Risk,,,,,,Submitted,0,
11511,Approved,Standard Risk,,11400.0,11400.0,14.2,14.28,Granted,0,
11513,Rejected,,Other,,,,,Rejected,0,
11515,,Low Risk,,,,,,Submitted,0,
11520,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
11544,,Standard Risk,,,,,,Submitted,0,
11549,Approved,Low Risk,,2150.0,,6.9,,Approved,0,
11553,,High Risk,,,,,,Submitted,0,
11574,,Standard Risk,,,,,,Docs Received,0,
11582,Approved,Low Risk,,5400.0,5400.0,4.38,5.47,Granted,0,
11588,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11592,Approved,Low Risk,,11100.0,11100.0,5.5,5.54,Granted,0,
11593,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11599,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11605,Rejected,Low Risk,Other,,,,,Rejected,0,
11609,Approved,Low Risk,,7600.0,7600.0,6.33,5.56,Granted,0,
11610,Approved,Standard Risk,,14350.0,14350.0,11.73,11.9,Granted,0,
11619,Rejected,High Risk,Other,,,,,Rejected,0,
11621,,Standard Risk,,,,,,Submitted,0,
11644,,Low Risk,,,,,,Docs Received,0,
11646,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11648,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11655,,Standard Risk,,,,,,Docs Received,0,
11663,Rejected,,High debt-to-income ratio,,,,,Rejected,0,
11670,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
11680,Approved,Low Risk,,14050.0,14050.0,7.53,6.26,Granted,0,
11685,,Standard Risk,,,,,,Submitted,0,
11693,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11704,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
11719,Approved,Standard Risk,,3450.0,3450.0,9.23,9.11,Granted,0,
11728,Approved,Standard Risk,,25000.0,25000.0,11.72,11.23,Granted,0,
11729,,High Risk,,,,,,Submitted,0,
11731,Approved,High Risk,,12000.0,12000.0,26.47,26.9,Granted,0,
11741,,Standard Risk,,,,,,Submitted,0,
11755,,Low Risk,,,,,,Submitted,0,
11767,Approved,Standard Risk,,13290.0,13290.0,14.93,15.71,Granted,0,
11777,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11779,,High Risk,,,,,,Submitted,0,
11781,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11782,Approved,Standard Risk,,5450.0,5450.0,10.01,9.4,Granted,0,
11783,Approved,Low Risk,,8850.0,8850.0,5.44,,Granted,0,
11794,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11806,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
11813,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
11824,Approved,Standard Risk,,13350.0,13350.0,12.01,12.11,Granted,0,
11828,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
11848,,High Risk,,,,,,Docs Received,0,
11851,Rejected,,Low credit score,,,,,Rejected,0,
11857,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11863,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11864,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
11887,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11888,,Standard Risk,,,,,,Docs Received,0,
11891,,High Risk,,,,,,Submitted,0,
11892,Approved,High Risk,,13300.0,13300.0,21.42,20.84,Granted,0,
11907,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11910,,Standard Risk,,,,,,Submitted,0,
11928,Approved,Standard Risk,,16070.0,16070.0,10.0,10.79,Granted,0,
11931,,Standard Risk,,,,,,Submitted,0,
11933,Rejected,,Low credit score,,,,,Rejected,0,
11935,Approved,High Risk,,2260.0,2260.0,24.15,24.58,Granted,0,
11937,,High Risk,,,,,,Submitted,0,
11940,,Standard Risk,,,,,,Submitted,0,
11958,Approved,High Risk,,3400.0,,22.55,22.79,Signed,0,
11965,,Standard Risk,,,,,,Submitted,0,
11966,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
11968,Rejected,High Risk,Low credit score,,,,,Rejected,0,
11975,,High Risk,,,,,,Submitted,0,
11982,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
11989,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
11990,Approved,Low Risk,,570.0,570.0,6.45,6.3,Granted,0,
11994,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
12016,,Low Risk,,,,,,Docs Received,0,
12020,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12023,,Standard Risk,,,,,,Submitted,0,
12026,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
12030,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12032,,Standard Risk,,,,,,Submitted,0,
12034,,Standard Risk,,,,,,Submitted,0,
12062,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
12063,Approved,Standard Risk,,8350.0,8350.0,9.49,10.03,Granted,0,
12077,,Low Risk,,,,,,Docs Received,0,
12090,Approved,Standard Risk,,9240.0,9240.0,12.57,12.4,Granted,0,
12098,,High Risk,,,,,,Submitted,0,
12110,,High Risk,,,,,,Submitted,0,
12117,,Standard Risk,,,,,,Submitted,0,
12122,,Standard Risk,,,,,,Submitted,0,
12124,,Standard Risk,,,,,,Docs Received,0,
12133,,Standard Risk,,,,,,Submitted,0,
12136,Rejected,,Low credit score,,,,,Rejected,0,
12140,Approved,Low Risk,,12250.0,12250.0,7.32,7.5,Granted,0,
12164,,High Risk,,,,,,Submitted,0,
12169,Approved,Low Risk,,10800.0,10800.0,5.12,5.58,Granted,0,
12172,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12179,Approved,Standard Risk,,13400.0,13400.0,11.61,11.92,Granted,0,
12181,Approved,Low Risk,,3100.0,3100.0,6.12,6.75,Granted,0,
12182,,High Risk,,,,,,Docs Received,0,
12183,Approved,Standard Risk,,12250.0,12250.0,12.8,12.91,Granted,0,
12184,Approved,Standard Risk,,17200.0,17200.0,13.31,13.57,Granted,0,
12189,,High Risk,,,,,,Submitted,0,
12193,,Standard Risk,,,,,,Submitted,0,
12194,,High Risk,,,,,,Submitted,0,
12198,Approved,Low Risk,,9600.0,,,6.12,Signed,0,
12203,Approved,Standard Risk,,15550.0,15550.0,11.28,11.35,Granted,0,
12207,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
12213,Approved,Low Risk,,2500.0,2500.0,6.43,6.05,Granted,0,
12215,Approved,Low Risk,,5800.0,5800.0,6.24,6.46,Granted,0,
12218,Approved,Low Risk,,16100.0,,7.17,6.92,Signed,0,
12227,,Low Risk,,,,,,Docs Received,0,
12235,,Low Risk,,,,,,Docs Received,0,
12243,,Standard Risk,,,,,,Submitted,0,
12245,Approved,Standard Risk,,950.0,950.0,12.08,12.39,Granted,0,
12246,,Standard Risk,,,,,,Submitted,0,
12247,,Low Risk,,,,,,Docs Received,0,
12253,,High Risk,,,,,,Docs Received,0,
12259,Approved,Standard Risk,,6700.0,,10.77,,Approved,0,
12263,,Low Risk,,,,,,Submitted,0,
12266,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12279,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
12283,,Low Risk,,,,,,Submitted,0,
12284,Approved,Low Risk,,14450.0,14450.0,7.5,7.77,Granted,0,
12296,Approved,Standard Risk,,12830.0,12830.0,13.02,12.96,Granted,0,
12327,,Standard Risk,,,,,,Docs Received,0,
12331,Approved,Standard Risk,,3750.0,3750.0,10.19,9.38,Granted,0,
12333,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
12334,Approved,Standard Risk,,6800.0,6800.0,12.6,12.26,Granted,0,
12344,,High Risk,,,,,,Submitted,0,
12354,,Standard Risk,,,,,,Submitted,0,
12362,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12364,,Low Risk,,,,,,Submitted,0,
12370,Approved,Low Risk,,3750.0,3750.0,4.21,4.28,Granted,0,
12372,,Low Risk,,,,,,Submitted,0,
12374,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
12376,Approved,Low Risk,,2700.0,,,,Approved,0,
12377,,Standard Risk,,,,,,Submitted,0,
12378,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12385,,Low Risk,,,,,,Submitted,0,
12390,Approved,Low Risk,,8050.0,8050.0,6.75,5.72,Granted,0,
12392,Approved,Low Risk,,2690.0,2690.0,7.33,6.78,Granted,0,
12393,,High Risk,,,,,,Submitted,0,
12400,,Low Risk,,,,,,Submitted,0,
12407,,Standard Risk,,,,,,Submitted,0,
12409,Approved,Low Risk,,800.0,800.0,7.24,7.66,Granted,0,
12415,Approved,Standard Risk,,1800.0,,9.26,,Approved,0,
12418,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12420,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
12428,Approved,Low Risk,,15250.0,15250.0,7.48,8.19,Granted,0,
12433,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12440,Approved,Standard Risk,,2500.0,2500.0,13.74,13.86,Granted,0,
12441,,High Risk,,,,,,Submitted,0,
12447,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
12454,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12460,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12470,Rejected,High Risk,Other,,,,,Rejected,0,
12472,Approved,Low Risk,,10950.0,10950.0,7.51,7.44,Granted,0,
12478,Approved,Low Risk,,14500.0,14500.0,6.92,6.92,Granted,0,
12485,Rejected,Low Risk,High debt-to-income ratio,,,,,Rejected,0,
12486,Approved,Standard Risk,,7650.0,7650.0,14.09,13.76,Granted,0,
12487,,Standard Risk,,,,,,Submitted,0,
12489,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
12509,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
12511,Rejected,High Risk,Low credit score,,,,,Rejected,0,
12517,Approved,Standard Risk,,25000.0,25000.0,14.04,13.78,Granted,0,
12525,Approved,Standard Risk,,10700.0,10700.0,12.28,12.4,Granted,1,"2026-01-30"
12530,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
12533,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
12534,,High Risk,,,,,,Docs Received,0,
12537,,High Risk,,,,,,Submitted,0,
12540,,Low Risk,,,,,,Docs Received,0,
12551,Approved,Low Risk,,10150.0,,5.87,,Approved,0,
12559,Approved,Standard Risk,,15850.0,15850.0,14.28,15.06,Granted,0,
12566,Approved,High Risk,,22250.0,22250.0,18.83,18.35,Granted,0,
12574,Rejected,High Risk,High debt-to-income ratio,,,,,Rejected,0,
12575,Approved,Low Risk,,20100.0,20100.0,4.24,4.29,Granted,0,
